audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
257581,463222,dae09508-ad8c-4579-9a9e-bec7d45f3a3d,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-01,10:55:42,2018-04-01T10:55:42+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-25,08:28:21,2017-09-25T08:28:21+10:00,8661.568,8662.4853,0.9173,1218.75,6281.25,false,225,225,235:Willie Wagtail,235,,,,,http://api.ecosounds.org/listen/463222?start=8640&end=8670,http://api.ecosounds.org/library/463222/audio_events/257581
257580,463222,dae09508-ad8c-4579-9a9e-bec7d45f3a3d,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-01,10:49:41,2018-04-01T10:49:41+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-25,07:45:42,2017-09-25T07:45:42+10:00,6102.992,6104.272,1.28,0.0,2578.125,false,225,225,99:Grey Shrike-thrush,99,,,,,http://api.ecosounds.org/listen/463222?start=6090&end=6120,http://api.ecosounds.org/library/463222/audio_events/257580
257579,463222,dae09508-ad8c-4579-9a9e-bec7d45f3a3d,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-01,10:45:48,2018-04-01T10:45:48+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-25,07:26:24,2017-09-25T07:26:24+10:00,4944.064,4946.1547,2.0907,1359.375,6281.25,false,225,225,235:Willie Wagtail,235,,,,,http://api.ecosounds.org/listen/463222?start=4920&end=4950,http://api.ecosounds.org/library/463222/audio_events/257579
257577,463208,0c5b3014-d3f6-4a42-a2a9-dbb9fc1baa58,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-04-01,09:31:51,2018-04-01T09:31:51+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-24,08:30:00,2017-09-24T08:30:00+10:00,8640.4907,8641.664,1.1733,6328.125,7968.75,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463208?start=8640&end=8670,http://api.ecosounds.org/library/463208/audio_events/257577
257576,463208,0c5b3014-d3f6-4a42-a2a9-dbb9fc1baa58,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-04-01,09:29:37,2018-04-01T09:29:37+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-24,07:57:11,2017-09-24T07:57:11+10:00,6671.1573,6673.5253,2.368,1031.25,3093.75,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463208?start=6660&end=6690,http://api.ecosounds.org/library/463208/audio_events/257576
257574,463228,06a3672b-d618-4d57-8c05-d789b02f13fd,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-01,09:09:51,2018-04-01T09:09:51+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-21,07:46:01,2017-09-21T07:46:01+10:00,5821.0027,5823.4347,2.432,468.75,2625.0,false,225,225,129:Noisy Friarbird,129,,,,,http://api.ecosounds.org/listen/463228?start=5820&end=5850,http://api.ecosounds.org/library/463228/audio_events/257574
257573,463228,06a3672b-d618-4d57-8c05-d789b02f13fd,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-01,09:06:32,2018-04-01T09:06:32+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-21,06:53:48,2017-09-21T06:53:48+10:00,2688.4107,2689.5627,1.152,4687.5,6890.625,false,225,225,,,,,591:Thornbill:general,591,http://api.ecosounds.org/listen/463228?start=2670&end=2700,http://api.ecosounds.org/library/463228/audio_events/257573
257572,463218,57f2637c-e38a-4a4c-91da-d725ef063bf7,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-03-31,15:53:28,2018-03-31T15:53:28+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-18,07:17:48,2017-09-18T07:17:48+10:00,3888.5813,3893.168,4.5867,937.5,3234.375,false,225,225,247:Yellow-throated Miner,247,,,,,http://api.ecosounds.org/listen/463218?start=3870&end=3900,http://api.ecosounds.org/library/463218/audio_events/257572
257571,463218,57f2637c-e38a-4a4c-91da-d725ef063bf7,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-03-31,15:52:53,2018-03-31T15:52:53+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-18,07:17:37,2017-09-18T07:17:37+10:00,3877.2107,3880.176,2.9653,750.0,3046.875,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463218?start=3870&end=3900,http://api.ecosounds.org/library/463218/audio_events/257571
257570,463218,57f2637c-e38a-4a4c-91da-d725ef063bf7,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-03-31,15:51:42,2018-03-31T15:51:42+10:00,1088:Cunnamulla,1798,Regrowth Mulga 3,2017-09-18,07:15:18,2017-09-18T07:15:18+10:00,3738.4107,3742.1227,3.712,656.25,2531.25,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463218?start=3720&end=3750,http://api.ecosounds.org/library/463218/audio_events/257570
